playerId,playerName,club,position,gamesPlayed,goals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,dribbledPast,clearances,totalPasses,bigChancesCreated,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,savedShotsFromOutsideTheBox,runsOut,successfulRunsOut,goalsConcededInsideTheBox,penaltyFaced,penaltySave,goalsConcededOutsideTheBox,highClaims,yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating
886773,Rodrigo Fagundes,Criciúma,D,19,1,17,5.88,0,0,1,0,3,0,0,0,0.0,9,11,0,1,1,0.0,69.23,3,0,0,0,21,0,7,26,0,0,0,11,152,851,0,98,67,0,84.37,133,280,0.0,0,0,0,0,0,0,0,15,0,0,2,0,2,72,1695,155,0,64.29,3,33,105,21,19,47.83,58.01,4,7.27
1002459,Henri Santos,CRB,D,19,0,13,0.0,0,0,0,3,3,0,0,0,0.0,0,7,0,0,0,0.0,0.0,3,0,0,0,15,0,6,16,0,1,0,10,115,1247,4,132,90,1,86.53,168,340,10.0,0,0,0,0,0,0,0,14,0,0,4,0,2,59,1710,192,0,76.62,6,20,79,13,19,47.62,66.39,1,7.19
846362,Walter Clar,Chapecoense,D,19,3,14,21.43,0,0,3,2,7,1,0,2,100.0,18,2,1,3,1,0.0,75.0,5,0,0,0,18,0,5,19,0,0,0,8,67,595,5,106,32,0,76.3,141,245,17.19,0,0,0,0,0,0,0,16,0,0,0,0,1,30,1681,247,0,61.22,7,43,73,13,19,58.11,59.35,6,7.16
338827,Lucão,América Mineiro,D,19,0,5,0.0,0,0,0,0,2,0,0,0,0.0,4,2,0,0,0,0.0,100.0,1,0,0,0,14,1,3,14,1,0,0,4,115,1236,0,136,99,0,89.89,125,393,0.0,0,0,0,0,0,0,0,22,0,0,4,0,1,52,1710,134,0,65.0,10,28,80,6,19,73.68,67.8,0,7.05
870753,Sanchez Costa,Volta Redonda,D,19,1,33,3.03,1,0,1,1,8,0,0,1,0.0,16,17,0,1,0,0.0,48.48,8,0,0,1,16,0,6,20,0,0,0,4,44,651,2,117,27,1,78.49,140,280,28.26,0,0,0,0,0,0,0,16,0,0,4,0,3,34,1669,317,0,65.38,11,42,76,18,19,47.19,53.9,9,6.99
794878,Matheus Ribeiro,CRB,D,19,0,12,0.0,0,0,0,1,3,0,0,0,0.0,13,3,0,0,0,0.0,65.0,6,0,0,0,29,0,4,12,0,0,0,15,49,674,2,126,43,1,87.39,85,288,24.56,0,0,0,0,0,0,0,13,0,0,4,0,0,7,1533,163,0,41.18,10,51,58,15,17,52.58,50.88,9,6.96
870696,Fabiano,Amazonas FC,D,19,0,8,0.0,0,0,0,0,3,0,0,0,0.0,2,4,0,0,0,0.0,40.0,1,0,0,0,44,0,4,25,1,0,0,6,93,708,0,91,43,0,77.97,156,257,14.29,0,0,0,0,0,0,0,21,0,0,4,0,3,38,1681,203,0,60.32,11,57,95,14,19,68.67,65.07,3,6.92
360940,Léo,Athletico,D,19,1,3,33.33,0,1,1,0,1,0,0,0,0.0,1,2,0,1,0,0.0,50.0,0,0,0,0,24,0,3,19,0,0,0,0,92,945,1,75,55,0,89.95,95,284,0.0,0,0,0,0,0,0,0,25,0,0,1,0,2,32,1697,107,0,59.26,5,30,62,22,18,56.6,57.94,0,6.92
870933,Marlon Lopes,América Mineiro,D,18,1,13,7.69,0,0,0,0,3,0,0,0,0.0,7,5,0,1,1,0.0,43.75,5,0,0,1,42,0,3,23,0,1,1,11,31,736,3,175,36,0,82.74,127,371,29.51,0,0,0,0,0,0,0,21,0,0,3,0,3,19,1512,223,0,59.38,22,71,90,8,17,65.74,64.29,11,7.14
866775,Eduardo Brock,Avaí,D,18,0,4,0.0,2,0,0,0,0,0,0,0,0.0,5,3,0,0,0,0.0,83.33,1,0,0,0,32,0,7,23,2,1,0,10,113,994,0,125,118,0,78.97,209,313,16.67,0,0,0,0,0,0,0,15,0,0,3,0,3,39,1620,237,0,73.58,1,38,77,11,18,62.3,67.54,2,7.08
870851,Bruno Melo,Coritiba,D,18,1,9,11.11,0,0,1,1,3,0,0,1,0.0,1,2,0,1,0,0.0,50.0,4,0,0,0,13,0,8,14,1,1,0,3,66,908,0,79,50,0,89.87,92,243,36.36,0,0,0,0,0,0,0,10,0,0,2,0,3,34,1526,118,0,69.39,5,19,53,9,18,61.29,66.25,0,6.94
312072,Sidimar,Athletic Club,D,18,1,5,20.0,0,1,1,0,1,0,0,0,0.0,0,3,0,1,0,0.0,0.0,1,0,0,0,16,0,3,8,0,0,0,3,101,772,0,21,46,0,88.08,92,190,0.0,0,0,0,0,0,0,0,17,0,0,6,0,3,55,1579,103,0,73.33,11,27,82,15,17,57.45,67.21,2,6.92
